City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches(last 3hrs),Snow inches(last 3hrs)
0,Punta Arenas,CL,2020-01-06 03:06:30,-53.16,-70.91,46.4,61,40,12.75,scattered clouds,0.0,0.0
1,Hobart,AU,2020-01-06 03:04:03,-42.88,147.33,77.0,55,20,17.22,few clouds,0.0,0.0
2,Brae,GB,2020-01-06 03:06:30,60.4,-1.35,50.0,87,100,17.22,light rain,0.44,0.0
3,Kapaa,US,2020-01-06 03:02:49,22.08,-159.32,80.6,74,75,19.46,broken clouds,0.0,0.0
4,Nantucket,US,2020-01-06 03:06:30,41.28,-70.1,35.6,55,1,11.41,clear sky,0.0,0.0
5,Puerto Ayora,EC,2020-01-06 03:02:42,-0.74,-90.35,75.99,82,0,3.0,clear sky,0.0,0.0
6,Saskylakh,RU,2020-01-06 03:06:30,71.97,114.09,-16.62,92,100,16.02,overcast clouds,0.0,0.0
7,Tigre,AR,2020-01-06 03:06:30,-34.42,-58.58,77.0,60,90,28.86,overcast clouds,0.0,0.0
8,Floresta,BR,2020-01-06 03:06:30,-8.6,-38.57,79.9,63,100,6.78,overcast clouds,0.0,0.0
9,Prince Rupert,CA,2020-01-06 03:03:48,54.32,-130.32,37.4,66,20,8.05,few clouds,0.0,0.0
10,Albany,US,2020-01-06 03:06:00,42.65,-73.75,28.4,63,20,3.36,few clouds,0.0,0.0
11,Barrow,AR,2020-01-06 03:06:31,-38.31,-60.23,61.7,89,100,7.25,overcast clouds,0.0,0.0
12,San Cristobal,HN,2020-01-06 03:06:31,14.68,-86.92,58.95,98,72,4.65,broken clouds,0.0,0.0
13,Bethel,US,2020-01-06 03:03:01,60.79,-161.76,-16.6,68,1,6.93,clear sky,0.0,0.0
14,Rikitea,PF,2020-01-06 03:06:31,-23.12,-134.97,76.28,76,52,16.04,broken clouds,0.0,0.0
15,Sitka,US,2020-01-06 03:02:42,37.17,-99.65,37.0,50,0,6.64,clear sky,0.0,0.0
16,Nome,US,2020-01-06 03:06:31,30.04,-94.42,62.01,87,1,3.36,clear sky,0.0,0.0
17,Salalah,OM,2020-01-06 03:03:58,17.01,54.1,75.2,78,75,3.36,broken clouds,0.0,0.0
18,Vila Franca Do Campo,PT,2020-01-06 03:06:31,37.72,-25.43,64.4,93,75,13.87,broken clouds,0.0,0.0
19,Vaini,IN,2020-01-06 03:06:31,15.34,74.49,68.0,88,75,4.7,mist,0.0,0.0
20,Chuy,UY,2020-01-06 03:06:31,-33.69,-53.46,69.55,85,0,11.83,clear sky,0.0,0.0
21,Nanortalik,GL,2020-01-06 03:06:31,60.14,-45.24,28.49,71,100,29.53,snow,0.0,2.25
22,Deer Lake,CA,2020-01-06 03:06:32,49.18,-57.43,26.6,86,90,21.92,light snow,0.0,0.0
23,Grindavik,IS,2020-01-06 03:06:32,63.84,-22.43,35.6,100,90,23.04,light snow,0.0,0.0
24,Tuktoyaktuk,CA,2020-01-06 03:06:32,69.44,-133.03,-23.8,74,20,4.7,few clouds,0.0,0.0
25,Mataura,NZ,2020-01-06 03:06:32,-46.19,168.86,50.0,83,100,21.0,light rain,1.19,0.0
26,Naze,NG,2020-01-06 03:03:22,5.43,7.07,73.4,83,2,0.83,dust,0.0,0.0
27,Alice Springs,AU,2020-01-06 03:06:32,-23.7,133.88,71.6,60,90,8.05,overcast clouds,0.0,0.0
28,Port Alfred,ZA,2020-01-06 03:06:32,-33.59,26.89,68.0,93,99,3.13,overcast clouds,0.0,0.0
29,Shibetsu,JP,2020-01-06 03:06:32,44.15,142.46,24.8,79,75,11.41,light shower snow,0.0,0.0
30,Collie,AU,2020-01-06 03:06:32,-33.36,116.15,91.99,12,33,1.92,scattered clouds,0.0,0.0
31,Luderitz,NA,2020-01-06 03:01:44,-26.65,15.16,62.92,85,0,20.76,clear sky,0.0,0.0
32,Kiama,AU,2020-01-06 03:06:32,-34.67,150.86,73.0,73,100,12.75,light rain,0.19,0.0
33,Maniitsoq,GL,2020-01-06 03:06:33,65.42,-52.9,4.98,98,100,26.04,light snow,0.0,0.88
34,Sao Mateus Do Maranhao,BR,2020-01-06 03:06:33,-4.04,-44.48,74.08,96,98,2.73,light rain,0.19,0.0
35,Ostersund,SE,2020-01-06 03:06:33,63.18,14.64,37.99,85,70,12.75,broken clouds,0.0,0.0
36,Bluff,AU,2020-01-06 03:06:33,-23.58,149.07,90.79,38,74,13.69,broken clouds,0.0,0.0
37,Rondonopolis,BR,2020-01-06 03:06:33,-16.46,-54.64,74.43,81,67,2.59,broken clouds,0.0,0.0
38,Severo-Kurilsk,RU,2020-01-06 03:06:33,50.68,156.12,26.65,91,99,8.43,snow,0.0,5.5
39,Lasa,CY,2020-01-06 03:06:33,34.92,32.53,60.8,82,90,11.41,moderate rain,0.0,0.0
40,Fortuna,US,2020-01-06 03:06:33,40.6,-124.16,46.4,87,1,3.36,clear sky,0.0,0.0
41,Atuona,PF,2020-01-06 03:06:33,-9.8,-139.03,79.9,78,63,10.71,light rain,1.75,0.0
42,Carauari,BR,2020-01-06 03:06:33,-4.88,-66.9,75.88,94,100,1.36,overcast clouds,0.0,0.0
43,Tasiilaq,GL,2020-01-06 03:03:18,65.61,-37.64,20.64,90,100,38.86,snow,0.0,1.94
44,Tiznit,MA,2020-01-06 03:06:33,29.7,-9.73,47.19,87,0,1.19,clear sky,0.0,0.0
45,Lebu,ET,2020-01-06 03:06:34,8.96,38.73,53.6,76,20,8.05,few clouds,0.0,0.0
46,Carnarvon,ZA,2020-01-06 03:06:34,-30.97,22.13,58.98,82,69,7.38,broken clouds,0.0,0.0
47,New Norfolk,AU,2020-01-06 03:06:34,-42.78,147.06,77.0,55,20,17.22,few clouds,0.0,0.0
48,Karratha,AU,2020-01-06 03:03:28,-20.74,116.85,87.49,64,100,6.98,light rain,0.25,0.0
49,Goderich,CA,2020-01-06 03:03:49,43.74,-81.71,33.01,97,100,14.74,snow,0.0,1.56
50,Praia Da Vitoria,PT,2020-01-06 03:06:34,38.73,-27.07,64.4,82,75,20.18,broken clouds,0.0,0.0
51,Hilo,US,2020-01-06 03:06:34,19.71,-155.08,71.6,83,90,4.7,heavy intensity rain,0.0,0.0
52,Marsa Matruh,EG,2020-01-06 03:03:54,31.35,27.25,51.8,71,40,17.22,scattered clouds,0.0,0.0
53,General Roca,AR,2020-01-06 03:06:34,-39.03,-67.58,66.2,37,0,16.11,clear sky,0.0,0.0
54,Chantada,ES,2020-01-06 03:06:34,42.61,-7.77,37.0,100,90,2.24,fog,0.0,0.0
55,Meulaboh,ID,2020-01-06 03:03:09,4.14,96.13,80.6,76,29,5.77,scattered clouds,0.0,0.0
56,Abashiri,JP,2020-01-06 03:06:34,44.01,144.25,28.4,50,75,12.75,broken clouds,0.0,0.0
57,Hermanus,ZA,2020-01-06 03:06:34,-34.42,19.24,63.0,94,100,9.78,overcast clouds,0.0,0.0
58,Pacific Grove,US,2020-01-06 03:06:25,36.62,-121.92,55.4,76,1,3.36,clear sky,0.0,0.0
59,Cayenne,GF,2020-01-06 03:03:06,4.94,-52.33,77.0,88,42,3.36,light rain,0.19,0.0
60,Jamestown,AU,2020-01-06 03:02:50,-33.21,138.6,73.4,55,82,0.31,broken clouds,0.0,0.0
61,Dikson,RU,2020-01-06 03:06:35,73.51,80.55,17.19,94,100,16.11,light snow,0.0,0.19
62,Veraval,FR,2020-01-06 03:06:35,49.65,0.71,41.0,93,0,3.36,clear sky,0.0,0.0
