City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Brae,GB,50.0,light rain,60.4,-1.35,Busta House Hotel
25,Mataura,NZ,50.0,light rain,-46.19,168.86,Ellie's Villa
32,Kiama,AU,73.0,light rain,-34.67,150.86,The Sebel Kiama Harbourside
34,Sao Mateus Do Maranhao,BR,74.08,light rain,-4.04,-44.48,Pousada Pingo De Ouro
41,Atuona,PF,79.9,light rain,-9.8,-139.03,Villa Enata
48,Karratha,AU,87.49,light rain,-20.74,116.85,ibis Styles Karratha
59,Cayenne,GF,77.0,light rain,4.94,-52.33,Hôtel Le Dronmi
67,Dingle,PH,79.36,light rain,11.0,122.67,Camp Pasica
72,Arraial Do Cabo,BR,76.08,light rain,-22.97,-42.02,Pousada Porto Praia
81,Dzilam Gonzalez,MX,72.73,light rain,21.28,-88.93,Amina
82,Ponta Do Sol,BR,66.6,light rain,-20.63,-46.0,Hotel Escarpas do Lago
107,Gravdal,NO,48.0,moderate rain,59.79,5.78,Asalneset 54
113,Kaitangata,NZ,53.01,light rain,-46.28,169.85,Kaitangata Motor Camp
123,Faanui,PF,82.38,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
140,Antalaha,MG,80.06,light rain,-14.9,50.28,Hotel Vitasoa
157,Nalut,LY,49.51,light rain,31.86,10.98,A rest and prayer for women and men
164,Butaritari,KI,85.01,moderate rain,3.07,172.79,Isles Sunset Lodge
165,Kendari,ID,78.87,moderate rain,-3.99,122.52,Hotel Wixel
168,Port-Gentil,GA,82.04,light rain,-0.72,8.78,Fengshui Residence
186,Gobabis,,69.62,light rain,-22.45,18.97,Goba Lodge
199,Nova Vicosa,BR,74.41,light rain,-17.89,-39.37,Pousada Porto do Sol
215,Linhares,BR,72.95,light rain,-19.38,-40.06,Hotel Conceição
218,Kudahuvadhoo,MV,82.49,light rain,2.67,72.89,Kudahuvadhoo Retreat
243,Tuatapere,NZ,50.0,light rain,-46.13,167.69,Ron and Tony's Bed & Breakfast
250,Manokwari,ID,79.05,light rain,-0.87,134.08,Swiss Belhotel Manokwari
251,Isangel,VU,78.17,light rain,-19.55,169.27,Volcano Sea View Tree House
283,Tuy Hoa,VN,74.68,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
290,Vanimo,PG,82.02,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
303,Barcelos,BR,75.79,light rain,-0.97,-62.93,Barco Hotel Princesa Amazonia
322,Maoming,CN,73.45,light rain,21.67,110.92,Jinhui Hotel
332,Ntcheu,MW,60.58,light rain,-14.82,34.64,Dear Executive Lodge
354,Te Anau,NZ,43.54,light rain,-45.41,167.72,Kingsgate Hotel Te Anau
359,Chaman,AF,44.94,moderate rain,30.92,66.46,Niamatt parda Center
362,Banjar,ID,87.51,light rain,-7.37,108.54,Mandiri
386,Salinopolis,BR,82.08,light rain,-0.61,-47.36,Hotel Salinópolis
418,Caravelas,BR,71.42,light rain,-17.73,-39.27,Pousada Dos Navegantes
428,Duyun,CN,58.35,light rain,26.27,107.52,Na Li Guesthouse
442,San Policarpo,PH,82.27,light rain,12.18,125.51,Zal-Ann Beach Resort
447,San Luis,AR,66.06,light rain,-33.3,-66.34,Huarpes Hotel
449,Wewak,PG,80.94,light rain,-3.55,143.63,In Wewak Boutique Hotel
459,Mabiton,PH,78.76,light rain,12.83,123.26,
461,Kirakira,SB,83.91,light rain,-10.46,161.92,Freshwind
465,Port Keats,AU,90.77,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
500,Garh Maharaja,PK,50.07,light rain,30.83,71.9,Zaki Pansar Shop
504,Nushki,PK,48.65,moderate rain,29.55,66.02,Bismillah Motor shoroom
505,Ulladulla,AU,71.6,light rain,-35.36,150.48,Sandpiper Motel
511,Katherine,AU,93.2,light rain,-14.47,132.26,Pine Tree Motel
514,Nortelandia,BR,73.02,light rain,-14.45,-56.8,Hotel Karysmã
515,Barkhan,PK,42.28,light rain,29.9,69.52,Sardar
518,Sola,TZ,63.32,light rain,-3.17,33.8,Peace Hotel
526,Flinders,AU,73.99,light rain,-34.58,150.85,Shellharbour Resort & Conference Centre
528,Manaure,CO,79.59,light rain,11.78,-72.45,Casa de Yody
529,Pekalongan,ID,83.7,light rain,-6.89,109.67,Hotel Sahid Mandarin Pekalongan
536,Traralgon,AU,59.0,light rain,-38.19,146.54,Comfort Inn Traralgon
548,Dongsheng,CN,45.14,light rain,29.72,112.52,Xianghong Hotel
